City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2022-01-24 03:15:43,-33.918,25.5701,64.69,82,0,5.75
1,Morristown,US,2022-01-24 03:06:29,36.214,-83.2949,39.34,62,100,9.22
2,Dingle,PH,2022-01-24 03:19:33,10.9995,122.6711,83.52,74,71,11.99
3,Port Hardy,CA,2022-01-24 03:08:19,50.6996,-127.4199,41.76,79,99,5.59
4,Bethel,US,2022-01-24 03:19:33,41.3712,-73.414,31.05,87,100,0.0
5,Cape Town,ZA,2022-01-24 03:15:12,-33.9258,18.4232,69.28,89,75,6.91
6,Hermanus,ZA,2022-01-24 03:16:15,-34.4187,19.2345,67.89,90,98,7.52
7,Jamestown,US,2022-01-24 03:19:34,42.097,-79.2353,15.71,92,100,3.44
8,Tuktoyaktuk,CA,2022-01-24 03:19:35,69.4541,-133.0374,-2.2,84,75,9.22
9,Mataura,NZ,2022-01-24 03:19:35,-46.1927,168.8643,65.48,32,7,5.01
10,Vila Velha,BR,2022-01-24 03:19:35,-20.3297,-40.2925,76.44,89,40,4.61
11,Banff,CA,2022-01-24 03:19:36,51.1762,-115.5698,36.63,98,44,5.37
12,Ossora,RU,2022-01-24 03:19:36,59.2353,163.0719,-11.49,87,2,2.86
13,Clyde River,CA,2022-01-24 03:19:36,70.4692,-68.5914,-3.77,84,100,32.21
14,Ilhabela,BR,2022-01-24 03:19:37,-23.7781,-45.3581,76.82,91,36,7.2
15,Atasu,KZ,2022-01-24 03:19:37,48.6814,71.6433,3.42,86,100,6.26
16,Port Alfred,ZA,2022-01-24 03:19:37,-33.5906,26.891,72.99,62,0,10.0
17,Ilulissat,GL,2022-01-24 03:19:38,69.2167,-51.1,15.82,45,100,24.16
18,Zhigansk,RU,2022-01-24 03:16:28,66.7697,123.3711,-6.54,98,100,9.46
19,Lazaro Cardenas,MX,2022-01-24 03:19:38,17.9583,-102.2,75.38,71,28,4.99
20,Huaraz,PE,2022-01-24 03:15:10,-9.5333,-77.5333,53.64,84,95,2.73
21,Ribeira Grande,PT,2022-01-24 03:19:39,38.5167,-28.7,59.7,66,5,6.35
22,Matara,LK,2022-01-24 03:19:39,5.9485,80.5353,76.87,79,99,4.74
23,Nome,US,2022-01-24 03:19:39,64.5011,-165.4064,8.67,67,0,11.5
24,Rameswaram,IN,2022-01-24 03:19:40,9.2833,79.3,79.65,77,100,13.4
25,Vila Franca Do Campo,PT,2022-01-24 03:19:40,37.7167,-25.4333,60.19,72,8,5.35
