City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,-43.1,98,46,3.51,scattered clouds
1,Port Alfred,ZA,-33.5906,26.891,72.57,92,88,4.05,overcast clouds
2,Pisco,PE,-13.7,-76.2167,70.02,73,100,19.57,mist
3,Mahebourg,MU,-20.4081,57.7,71.26,73,37,9.89,light rain
4,Avarua,CK,-21.2078,-159.775,82.45,83,75,12.66,broken clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,73.63,89,100,7.14,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,51.46,71,75,31.07,broken clouds
7,Khash,IR,28.2211,61.2158,43.39,33,0,1.25,clear sky
8,Yanam,IN,16.7333,82.2167,70.2,93,32,3.58,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,68.41,79,0,3.0,clear sky
10,Codrington,AU,-38.2667,141.9667,89.44,46,7,10.07,clear sky
11,Katsuura,JP,35.1333,140.3,47.19,60,100,14.34,overcast clouds
12,Gazli,UZ,40.1333,63.45,36.79,58,0,10.54,clear sky
13,Bossangoa,CF,6.4926,17.4552,71.31,22,100,5.03,overcast clouds
14,Taltal,CL,-25.4,-70.4833,66.52,83,25,4.05,scattered clouds
15,Kodiak,US,57.79,-152.4072,35.11,87,100,11.5,light snow
16,Lazaro Cardenas,MX,17.9583,-102.2,77.22,71,29,5.68,scattered clouds
17,La Ronge,CA,55.1001,-105.2842,12.45,67,100,13.8,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,78.6,77,2,17.22,clear sky
19,Fairbanks,US,64.8378,-147.7164,-0.9,78,40,3.44,scattered clouds
20,Itoman,JP,26.1247,127.6694,71.62,64,75,8.05,broken clouds
21,Nelson Bay,AU,-32.7167,152.15,83.28,57,0,3.0,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,51.91,71,40,32.21,scattered clouds
23,Albany,US,42.6001,-73.9662,13.37,57,3,5.01,clear sky
24,Kuching,MY,1.55,110.3333,75.42,100,75,1.14,fog
25,Sept-Iles,CA,50.2001,-66.3821,-6.95,62,0,4.61,clear sky
26,Sur,OM,22.5667,59.5289,66.36,52,0,3.65,clear sky
27,Tuatapere,NZ,-46.1333,167.6833,58.82,50,20,9.1,few clouds
28,Nikolskoye,RU,59.7035,30.7861,25.88,93,100,10.71,snow
29,Castro,BR,-24.7911,-50.0119,67.96,89,100,1.83,overcast clouds
30,Bengkulu,ID,-3.8004,102.2655,78.93,80,100,3.38,overcast clouds
31,Harper,LR,4.375,-7.7169,79.03,82,12,7.18,few clouds
32,Mataura,NZ,-46.1927,168.8643,58.48,42,53,7.31,broken clouds
33,Yerbogachen,RU,61.2767,108.0108,-18.9,100,100,3.8,overcast clouds
34,Irbeyskoye,RU,55.6428,95.4522,10.62,97,100,1.97,overcast clouds
35,Boulder City,US,35.9786,-114.8325,54.25,17,0,8.05,clear sky
36,Veraval,IN,20.9,70.3667,60.69,45,2,13.13,clear sky
37,Zaria,NG,11.1113,7.7227,60.06,23,0,10.83,clear sky
38,Ati,TD,13.2154,18.3353,64.87,21,5,16.93,clear sky
39,Dongsheng,CN,39.8161,109.9776,12.06,55,5,5.7,clear sky
40,Nantucket,US,41.2835,-70.0995,24.96,59,96,20.51,overcast clouds
41,Busselton,AU,-33.65,115.3333,67.05,52,0,11.56,clear sky
42,Adrar,MR,20.5022,-10.0711,64.96,17,1,7.76,clear sky
43,Jamestown,US,42.097,-79.2353,16.92,72,100,8.05,overcast clouds
44,Hobart,AU,-42.8794,147.3294,71.46,60,75,10.36,broken clouds
45,Ostrovnoy,RU,68.0531,39.5131,9.84,97,58,18.43,broken clouds
46,Poum,NC,-20.2333,164.0167,80.98,75,19,10.02,few clouds
47,Beira,MZ,-19.8436,34.8389,80.69,88,40,8.99,scattered clouds
48,Bathsheba,BB,13.2167,-59.5167,74.01,83,40,6.91,scattered clouds
49,Sao Filipe,CV,14.8961,-24.4956,74.5,70,100,15.26,overcast clouds
50,Chateauroux,FR,46.8167,1.7,28.4,100,100,4.61,mist
51,Yeniseysk,RU,58.4497,92.1703,5.45,97,99,4.0,overcast clouds
52,Hilo,US,19.7297,-155.09,82.13,63,75,9.22,broken clouds
53,Kavaratti,IN,10.5669,72.642,77.23,62,100,8.19,overcast clouds
54,Rovaniemi,FI,66.5,25.7167,18.81,93,100,6.91,overcast clouds
55,Vila Velha,BR,-20.3297,-40.2925,75.94,82,0,8.01,clear sky
56,Cabo San Lucas,MX,22.8909,-109.9124,72.95,61,7,1.01,clear sky
57,Dogbo,BJ,6.8167,1.7833,69.89,89,0,3.24,clear sky
58,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,20,13.8,few clouds
59,Ribeira Grande,PT,38.5167,-28.7,59.61,78,18,14.65,few clouds
60,Vaini,TO,-21.2,-175.2,81.0,72,98,7.56,overcast clouds
61,Nago,JP,26.5881,127.9761,71.67,70,42,8.37,scattered clouds
62,Entebbe,UG,0.0644,32.4469,69.1,65,40,7.0,scattered clouds
63,Grand Gaube,MU,-20.0064,57.6608,71.38,72,24,1.99,few clouds
64,Hithadhoo,MV,-0.6,73.0833,81.46,75,89,21.41,overcast clouds
65,Puerto Quijarro,BO,-17.7833,-57.7667,82.9,62,100,3.15,overcast clouds
66,Nouadhibou,MR,20.931,-17.0347,62.58,82,0,17.27,clear sky
67,Bluff,NZ,-46.6,168.3333,58.8,56,47,11.34,scattered clouds
68,Tilichiki,RU,60.4667,166.1,17.24,95,100,9.71,light snow
69,Hofn,IS,64.2539,-15.2082,31.48,53,100,9.19,overcast clouds
70,Saint George,US,37.1041,-113.5841,52.39,22,0,4.61,clear sky
71,Fortuna,US,40.5982,-124.1573,53.42,87,0,1.99,clear sky
72,Finschhafen,PG,-6.6024,147.8681,84.99,72,100,6.04,overcast clouds
73,Nanortalik,GL,60.1432,-45.2371,19.54,71,100,15.79,overcast clouds
74,Hermanus,ZA,-34.4187,19.2345,64.8,87,3,9.15,clear sky
75,Prince Rupert,CA,54.3161,-130.3201,39.29,87,0,2.3,clear sky
76,Hambantota,LK,6.1241,81.1185,71.94,100,20,1.14,few clouds
77,Barrow,US,71.2906,-156.7887,-11.18,70,0,14.97,clear sky
78,Tarakan,ID,3.3,117.6333,76.5,94,40,2.3,scattered clouds
79,Dumas,US,35.8656,-101.9732,33.15,64,0,8.05,clear sky
80,Ferme-Neuve,CA,46.7001,-75.4493,-15.02,96,11,3.6,few clouds
81,Hervey Bay,AU,-25.2986,152.8535,80.71,71,100,5.01,overcast clouds
82,Itapirapua,BR,-15.8233,-50.6133,72.32,90,31,2.13,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,-8.7,60,73,8.25,broken clouds
84,Taksimo,RU,56.3444,114.8794,-20.67,95,44,1.07,scattered clouds
85,Sungaipenuh,ID,-2.0833,101.3833,67.93,85,100,2.21,overcast clouds
86,Lebu,CL,-37.6167,-73.65,58.59,89,0,9.24,clear sky
87,Saint-Philippe,RE,-21.3585,55.7679,71.19,68,51,7.7,broken clouds
88,Preston,GB,53.7667,-2.7167,50.79,89,100,7.0,overcast clouds
89,Letpadan,MM,17.7833,95.75,64.78,55,6,3.47,clear sky
90,Kunya,NG,12.2233,8.5325,57.36,38,0,6.91,clear sky
91,Koungou,YT,-12.7336,45.2042,80.31,83,0,10.36,light rain
92,Anloga,GH,5.7947,0.8973,77.22,82,0,6.55,clear sky
93,Atuona,PF,-9.8,-139.0333,78.78,79,12,17.4,few clouds
94,Port Lincoln,AU,-34.7333,135.8667,75.18,72,7,5.7,clear sky
95,Souillac,MU,-20.5167,57.5167,71.37,76,30,8.03,light rain
96,Tasiilaq,GL,65.6145,-37.6368,15.96,79,100,8.12,overcast clouds
97,Kavieng,PG,-2.5744,150.7967,83.97,75,100,8.93,light rain
